Affymetrix ID	Gene Symbol	Gene or mRNA Description	Accession	Direction	Sham Adj. P value	ADX Adj. P value
10441422	Zdhhc14	zinc finger, DHHC domain containing 14	NM_146073	up	0.02	0.02
10484201	2610301F02Rik	RIKEN CDNA 2610301F02 gene	ENSMUST00000049544	up	0.02	ns
10377380	1500010J02Rik	RIKEN CDNA 1500010J02 gene	NM_026889	down	0.02	ns
10374455	Spred2	sprouty-related, EVH1 domain containing 2	NM_033523	up	0.02	0.03
10439424	4932425124Rik	RIKEN CDNA 4932425124 gene	NM_001081025	up	0.02	ns
10519578	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	NM_008830	down	0.02	ns
10431974	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3	NM_144850	up	0.02	ns
10531610	Rasgef1b	RasGEF domain family, member 1B	NM_145839	down	0.02	ns
10558150	Htra1	HtrA serine peptidase 1	NM_019564	up	0.02	ns
10374564	Cct4	chaperonin containing Tcp1, subunit 4 (delta)	NM_009837	up	0.02	ns
10583291	2200002K05Rik	RIKEN cDNA 2200002K05 gene	BC055786	down	0.02	ns
10453887	Cables1	Cdk5 and Abl enzyme substrate 1	NM_022021	up	0.02	ns
10534002	Tmem132d	transmembrane protein 132D	NM_172885	down	0.02	ns
10506571	Dhcr24	24-dehydrocholesterol reductase	NM_053272	down	0.02	ns
10420730	Fdft1	farnesyl diphosphate farnesyl transferase 1	NM_010191	down	0.02	ns
10564877	Rccd1	RCC1 domain containing 1	NM_173445	down	0.02	ns
10601980	Mum111	melanoma associated antigen (mutated) 1-like 1	NM_175541	up	0.02	ns
10533401	Cux2	cut-like homeobox 2	ENSMUST0000111752	down	0.02	ns
10411359	Plp2	proteolipid protein 2	NM_019755	down	0.02	ns
10437655	BC068110	cDNA sequence BC068110	BC068110	down	0.02	ns
10599530	Rab33a	RAB33A, member of RAS oncogene family	NM_011228	down	0.02	ns
10568221	Sephs2	selenophosphate synthetase 2	NM_009266	down	0.02	ns
10366346	Phlda1	pleckstrin homology-like domain, family A, member 1	NM_009344	up	0.02	ns
10505532	OTTMUSG00000000266	predicted gene, OTTMUSG00000000266	XR_033213	up	0.02	ns
10480459	Hnmt	histamine N-methyltransferase	NM_080462	down	0.02	ns
10484197	2610301F02Rik	RIKEN cDNA 2610301F02 gene	ENSMUST0000049544	up	0.02	ns
10471058	Cstad	CSA-conditional, T cell activation-dependent protein	NM_030137	down	0.02	ns
10455128	Pcdhb20	protocadherin beta 20	NM_053145	down	0.02	ns
10598467	Pim2	proviral integration site 2	NM_138606	up	0.02	ns
10582823	Rbm34	RNA binding motif protein 34	NM_172762	down	0.02	ns
10416406	Htr2a	5-hydroxytryptamine (serotonin) receptor 2A	NM_172812	up	0.02	ns
10457853	Ino80c	INO80 complex subunit C	BC060961	down	0.02	ns
10582330	Rnf166	ring finger protein 166	NM_001033142	up	0.02	ns
10412466	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	NM_145942	down	0.02	ns
10561247	Shkbp1	Sh3kbp1 binding protein 1	NM_138676	up	0.02	ns
10531348	Ppef2	protein phosphatase, EF hand calcium-binding domain 2	NM_011148	up	0.02	ns
10361156	Rcor3	REST corepressor 3	NM_144814	down	0.02	ns
10424979	Gpt	glutamic pyruvic transaminase, soluble	NM_182805	up	0.02	ns
10387922	Slc25a11	solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11	NM_024211	down	0.02	ns
10470283	Egfl7	EGF-like domain 7	NM_198724	down	0.02	ns
10450533	Vars2	valyl-tRNA synthetase 2, mitochondrial (putative)	NM_175137	down	0.02	ns
10591022	4931406C07Rik	RIKEN cDNA 4931406C07 gene	BC016078	down	0.02	0.03
10378754	2310047D13Rik	RIKEN cDNA 2310047D13 gene	NM_027773	down	0.02	ns
10438738	Bcl6	B-cell leukemia/lymphoma 6	NM_009744	up	0.02	ns
10530910	Uba6	ubiquitin-like modifier activating enzyme 6	NM_172712	up	0.02	ns
10400510	Clec14a	C-type lectin domain family 14, member a	NM_025809	down	0.02	ns
10388884	Nik	nemo like kinase	NM_008702	up	0.02	ns
10448136	---	pseudogene chromosome:NCBIM37:17:18613394: 18613645:- 1 gene:ENSMUSG00000051878	ENSMUST0000078796	down	0.02	ns
10368101	D10Bwg1379e	DNA segment, Chr 10, Brigham & Women's Genetics 1379 expressed	NM_001033258	down	0.02	ns
10465263	Dpf2	D4, zinc and double PHD fingers family 2	NM_011262	up	0.02	ns
10377508	Trappc1	trafficking protein particle complex 1	NM_001024206	down	0.02	ns
10439976	2310061J03Rik	RIKEN cDNA 2310061J03 gene	BC017620	down	0.02	0.02
10385747	Phf15	PHD finger protein 15	NM_199299	up	0.02	ns
10436678	Gabpa	GA repeat binding protein, alpha	NM_008065	up	0.02	ns
10600504	Fundc2	FUN14 domain containing 2	NM_026126	down	0.02	ns
10519203	A230069A22Rik	RIKEN cDNA A230069A22 gene	BC147318	down	0.02	ns
10379652	AI450353	expressed sequence AI450353	AJ007734	up	0.02	ns
10360648	Psen2	presenilin 2	NM_011183	down	0.02	ns
10405372	Zfp346	zinc finger protein 346	NM_012017	down	0.02	ns
10519140	Mmp23	matrix metallopeptidase 23	NM_011985	up	0.02	ns
10410919	EG435373	predicted gene, EG435373	XR_034009	down	0.02	ns
10539649	Ptges3	prostaglandin E synthase 3 (cytosolic)	AY281130	up	0.02	ns
10598723	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	NM_010028	down	0.02	ns
10487969	Trmt6	tRNA methyltransferase 6 homolog (S. cerevisiae)	NM_175113	down	0.02	ns
10526897	Unc84a	unc-84 homolog A (C. elegans)	NM_024451	down	0.02	ns
10469505	Commd3	COMM domain containing 3	NM_147778	down	0.02	ns
10572747	Tpm4	tropomyosin 4	NM_001001491	up	0.02	ns
10603346	Plp2	proteolipid protein 2	NM_019755	down	0.02	ns
10366938	Stac3	SH3 and cysteine rich domain 3	NM_177707	up	0.02	ns
10513020	Ikbkap	inhibitor of kappa light polypeptide enhancer in B-cells, kinase complex-associated protein	NM_026079	down	0.02	ns
10394812	EG245297	predicted gene, EG245297	BC030401	down	0.02	ns
10406417	Actg1	actin, gamma, cytoplasmic 1	NM_009609	down	0.02	ns
10475544	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	NM_172537	down	0.02	ns
10587942	Xrn1	5'-3' exoribonuclease 1	NM_011916	down	0.02	ns
10399555	Kcnf1	potassium voltage-gated channel, subfamily F, member 1	NM_201531	up	0.02	ns
10383395	Slc25a10	solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10	NM_013770	down	0.02	ns
10379363	Atad5	ATPase family, AAA domain containing 5	NM_001029856	down	0.02	ns
10563314	Dhdh	dihydrodiol dehydrogenase (dimeric)	NM_027903	down	0.02	ns
10358660	Hmcn1	hemicentin 1	NM_001024720	down	0.02	ns
10601091	Foxo4	forkhead box O4	NM_018789	up	0.02	ns
10408113	Hist1h4i	histone cluster 1, H4i	NM_175656	up	0.02	ns
10440918	Tmem50b	transmembrane protein 50B	NM_030018	up	0.02	ns
10497920	Ankrd50	ankrin repeat domain 50	NM_001033 198	up	0.02	ns
10499643	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	NM_009602	down	0.02	ns
10586039	Tle3	transducin-like enhancer of split 3, homolog of Drosophila E(spl)	NM_001083 927	up	0.02	ns
10482434	Gtdc1	glycosyltransferase-like domain containing 1	NM_172662	down	0.02	ns
10543697	Zc3hc1	zinc finger, C3HC type 1	NM_172735	down	0.02	ns
10524941	Fbxo21	F-box protein 21	NM_145564	down	0.02	ns
10471443	Pip5kl1	phosphatidylinositol-4-phosphate 5-kinase-like 1	NM_198191	down	0.02	ns
10491091	Tnfsf10	tumor necrosis factor (ligand) superfamily, member 10	NM_009425	down	0.02	ns
10455088	Pcdhb11	protocadherin beta 11	NM_053136	down	0.02	ns
10400057	Arl4a	ADP-ribosylation factor-like 4A	NM_001039 515	down	0.02	0.02
10426284	Acr	acrosin prepropeptide	NM_013455	down	0.02	ns
10545835	1700040103Rik	RIKEN CDNA 1700040103 gene	BC115452	down	0.02	ns
10583834	9530077C05Rik	RIKEN CDNA 9530077C05 gene	BC054761	up	0.02	ns
10376685	Alkbh5	alkB, alkylation repair homolog 5 (E. coli)	NM_172943	up	0.02	ns
10501555	Amy1	amylase 1, salivary	NM_007446	down	0.02	0.002
10488816	Ahcy	S-adenosylhomocysteine hydrolase	NM_016661	down	0.02	ns
10528482	BC050254	cDNA sequence BC050254	BC050254	up	0.02	ns
10458340	Hbegf	heparin-binding EGF-like growth factor	NM_010415	up	0.02	0.02
10355785	Glb11	galactosidase, beta 1-like	BC021773	down	0.02	ns
10519224	Pusl1	pseudouridylate synthase-like 1	ENSMUST0 0000097737	down	0.02	ns
10393970	Fasn	fatty acid synthase	NM_007988	down	0.03	ns
10604735	Rbmx	RNA binding motif protein, X chromosome	NM_011252	down	0.03	ns
10571329	Gm501	gene model 501, (NCBI)	XM_146277	down	0.03	ns
10358648	Hmcn1	hemicentin 1	NM_001024 720	down	0.03	ns
10547288	Ankrd26	ankyrin repeat domain 26	NM_001081 112	up	0.03	ns
10554156	Fam174b	family with sequence similarity 174, member B	BC034069	up	0.03	ns
10346224	5330401P04Rik	RIKEN CDNA 5330401P04 gene	ENSMUSTO 0000087708	down	0.03	ns
10544563	Zfp467	zinc finger protein 467	NM_020589	down	0.03	ns
10365302	A230046K03Rik	RIKEN cDNA A230046K03 gene	NM_001033 375	up	0.03	ns
10447675	Rnaset2a	ribonuclease T2A	NM_001083 938	down	0.03	ns
10560035	Zscan18	zinc finger and SCAN domain containing 18	BC094341	down	0.03	ns
10396919	4933426M11Rik	RIKEN cDNA 4933426M11 gene	BC040401	up	0.03	ns
10572253	Sf4	splicing factor 4	NM_027481	down	0.03	0.05
10430956	Cyb5r3	cytochrome b5 reductase 3	NM_029787	down	0.03	ns
10444978	Gna-rs1	guanine nucleotide binding protein, related sequence 1	NM_008136	down	0.03	ns
10463836	Gsto1	glutathione S-transferase omega 1	NM_010362	down	0.03	ns
10414612	Slc39a2	solute carrier family 39 (zinc transporter), member 2	NM_001039676	up	0.03	ns
10544689	4921507P07Rik	RIKEN CDNA 4921507P07 gene	BC055110	down	0.03	ns
10556962	Vwa3a	von Willebrand factor A domain containing 3A	NM_177697	down	0.03	ns
10576010	Gse1	genetic suppressor element 1	NM_198671	up	0.03	ns
10515716	BC059842	cDNA sequence BC059842	ENSMUST00000075406	down	0.03	ns
10573115	Rnf150	ring finger protein 150	NM_177378	up	0.03	ns
10345882	Mrps9	mitochondrial ribosomal protein S9	NM_023514	down	0.03	ns
10579406	Arrdc2	arrestin domain containing 2	NM_027560	up	0.03	ns
10542104	ENSMUSG00000059659	predicted gene, ENSMUSG00000059659	ENSMUST0000082030	up	0.03	ns
10586128	---	snRNA chromosome:NCBIM37:9:63290126: 63290267:1 gene:ENSMUSG00000065679	ENSMUST0000083745	up	0.03	ns
10469951	Rnf208	ring finger protein 208	NM_176834	down	0.03	ns
10576857	Timm44	translocase of inner mitochondrial membrane 44	NM_011592	down	0.03	ns
10538290	Snx10	sorting nexin 10	NM_028035	down	0.03	ns
10592629	Grik4	glutamate receptor, ionotropic, kainate 4	NM_175481	down	0.03	ns
10589494	Cspg5	chondroitin sulfate proteoglycan 5	NM_013884	down	0.03	ns
10434436	EG328644	predicted gene, EG328644	BC125016	down	0.03	ns
10579659	Hmgn2	high mobility group nucleosomal binding domain 2	NM_016957	down	0.03	ns
10492522	Schip1	schwannomin interacting protein 1	NM_001113421	up	0.03	0.04
10542714	Lyrm5	LYR motif containing 5	NM_133688	down	0.03	ns
10399224	1110002L01Rik	RIKEN CDNA 1110002L01 gene	ENSMUST0000095903	up	0.03	ns
10591773	Hmgn2	high mobility group nucleosomal binding domain 2	NM_016957	down	0.03	ns
10533323	Adam1a	a disintegrin and metallopeptidase domain 1a	NM_172126	up	0.03	ns
10384192	Tbrg4	transforming growth factor beta regulated gene 4	NM_134011	down	0.03	ns
10433163	Ppp1r1a	protein phosphatase 1, regulatory (inhibitor) subunit 1A	NM_021391	down	0.03	ns
10388784	Rpl23a	ribosomal protein L23a	AF357367	down	0.03	ns
10369661	Ccar1	cell division cycle and apoptosis regulator 1	NM_026201	up	0.03	ns
10423577	Mtdh	Metadherin	NM_026002	down	0.03	ns
10532984	Dynll1	dynein light chain LC8-type 1	NM_019682	up	0.03	ns
10607116	Ammecr1	Alport syndrome, mental retardation, midface hypoplasia and	NM_019496	down	0.03	ns
10397189	Ptgr2	elliptocytosis chromosomal region gene 1 homolog (human)	NM_029880	down	0.03	ns
10572679	Glt25d1	glycosyltransferase 25 domain containing 1	NM_146211	down	0.03	ns
10526055	Gbas	glioblastoma amplified sequence	NM_008095	down	0.03	ns
10439442	Pla1a	phospholipase A1 member A	NM_134102	up	0.03	ns
10377612	Plscr3	phospholipid scramblase 3	NM_023564	down	0.03	ns
10458033	Stard4	StAR-related lipid transfer (START) domain containing 4	NM_133774	down	0.03	ns
10472418	OTTMUSG00000013098	predicted gene, OTTMUSG00000013098	AK039017	down	0.03	ns
10529260	6030436E02Rik	RIKEN CDNA 6030436E02 gene	ENSMUST0000094889	up	0.03	ns
10579054	4930467E23Rik // EG665756	RIKEN CDNA 4930467E23 gene // predicted gene, EG665756	ENSMUST0000084046	down	0.03	0.04
10364030	Adora2a	adenosine A2a receptor	NM_009630	down	0.03	ns
10502205	Hadh	hydroxyacyl-Coenzyme A dehydrogenase	NM_008212	down	0.03	ns
10597758	Axud1	AXIN1 up-regulated 1	NM_153287	up	0.03	ns
10408047	OTTMUSG00000018077	predicted gene, OTTMUSG00000018077	AK132930	down	0.03	ns
10438445	Klhl6	kelch-like 6 (Drosophila)	NM_183390	down	0.03	ns
10591164	---	known chromosome:NCBIM37:9:18265539: 18282707:-1 gene:ENSMUSG00000074500	ENSMUST0000034646	down	0.03	ns
10441055	Pigp	phosphatidylinositol glycan anchor biosynthesis, class P	NM_019543	down	0.03	ns
10378038	Wscd1	WSC domain containing 1	NM_177618	down	0.03	ns
10596568	Rbm15b	RNA binding motif protein 15B	ENSMUST0000098424	up	0.03	ns
10560551	Sfrs16	splicing factor, arginine/serine-rich 16	NM_016680	down	0.03	ns
10358565	Hmcn1	hemicentin 1	NM_001024720	down	0.03	ns
10584208	Cdon	cell adhesion molecule-related/down-regulated by oncogenes	NM_021339	down	0.03	ns
10448707	Tbl3	transducin (beta)-like 3	NM_145396	down	0.03	ns
10354031	Tsga10	testis specific 10	NM_207228	up	0.03	ns
10471519	Tor2a	torsin family 2, member A	NM_152800	down	0.03	ns
10528090	Rundc3b	RUN domain containing 3B	NM_198620	down	0.03	ns
10403945	Hist1h4j	histone cluster 1, H4j	NM_178210	up	0.03	0.008
10577808	Tacc1	transforming, acidic coiled-coil containing protein 1	NM_177089	up	0.03	ns
10365123	Dohh	deoxyhypusine hydroxylase/monooxygenase	AK080664	up	0.03	ns
10417275	---	novel chromosome:NCBIM37:14:20434352: 20436596:1 gene:ENSMUSG00000068776	ENSMUST0000090639	up	0.03	ns
10387936	Spag7	sperm associated antigen 7	NM_172561	down	0.03	ns
10587012	Ccpg1	cell cycle progression 1	NM_001114328	up	0.03	ns
10566668	LOC675799	similar to suppressor of cytokine signaling 6	XR_032694	up	0.03	ns
10380087	Mtmr4	myotubularin related protein 4	NM_133215	up	0.03	0.04
10596521	Grm2	glutamate receptor, metabotropic 2	BC115866	down	0.03	ns
10347427	Stk36	serine/threonine kinase 36 (fused homolog, Drosophila)	NM_175031	up	0.03	ns
10445688	Ccnd3	cyclin D3	NM_001081 636	up	0.03	ns
10420516	Cdadc1	cytidine and dCMP deaminase domain containing 1	NM_027986	up	0.03	ns
10493798	S100a16	S100 calcium binding protein A16	NM_026416	down	0.03	ns
10413542	Tkt	transketolase	NM_009388	down	0.03	ns
10581499	5830457010Rik	RIKEN cDNA 5830457010 gene	NM_145412	up	0.03	ns
10351063	---	Genscan chromosome:NCBIM37:1:163081124: 163167441:1	GENSCANO 0000035901	up	0.03	ns
10443421	Brpf3	bromodomain and PHD finger containing, 3	NM_001081 315	down	0.03	ns
10366546	Cpm	carboxypeptidase M	NM_027468	up	0.03	ns
10467802	Hps1	Hermansky-Pudlak syndrome 1 homolog (human)	NM_019424	down	0.03	ns
10415980	Fbxo16	F-box protein 16	NM_015795	down	0.03	ns
10415282	Psme1	proteasome (prosome, macropain) 28 subunit, alpha	NM_011189	down	0.03	ns
10469987	Man1b1	mannosidase, alpha, class 1B, member 1	NM_001029 983	down	0.03	ns
10523647	Aff1	AF4/FMR2 family, member 1	NM_001080 798	up	0.03	ns
10481111	---	Genscan chromosome:NCBIM37:2:26519054: 26578485:-1	GENSCANO 0000007465	up	0.03	ns
10600324	Rpl3	ribosomal protein L3	NM_013762	down	0.03	ns
10407192	Slc38a9	solute carrier family 38, member 9	NM_178746	up	0.03	ns
10358559	Hmcn1	hemicentin 1	NM_001024 720	down	0.03	ns
10491455	Fxr1	fragile X mental retardation gene 1, autosomal homolog	NM_001113 188	up	0.03	ns
10444352	Notch4	Notch gene homolog 4 (Drosophila)	NM_010929	up	0.03	ns
10490559	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	NM_015730	down	0.03	ns
10406536	---	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330419F14.	AK134580	down	0.03	ns
10355960	Scg2	secretogranin II	NM_009129	up	0.03	0.05
10395922	Rps2	ribosomal protein S2	NM_008503	down	0.03	ns
10490946	Hsp90aa1	heat shock protein 90, alpha (cytosolic), class A member 1	NM_010480	up	0.03	ns
10434942	Dlg1	discs, large homolog 1 (Drosophila)	NM_007862	up	0.03	ns
10571978	Cbr4	carbonyl reductase 4	NM_145595	down	0.03	ns
10430201	Myh9	myosin, heavy polypeptide 9, non-muscle	NM_022410	up	0.03	ns
10568296	---	---	AK034940	up	0.03	ns
10398360	---	Mus musculus mRNA, MBII-343 snoRNA.	AB076245	up	0.03	ns
10442240	Zfp760	zinc finger protein 760	NM_001008501	up	0.03	ns
10439766	Pvrl3	poliovirus receptor-related 3	NM_021496	down	0.03	ns
10505623	D4Bwg0951e	DNA segment, Chr 4, Brigham & Women's Genetics 0951 expressed	BC030404	up	0.03	ns
10576118	9330133014Rik	RIKEN cDNA 9330133014 gene	BC094355	down	0.03	ns
10462702	Hectd2	HECT domain containing 2	NM_172637	up	0.03	ns
10443021	Atp6v0e	ATPase, H+ transporting, lysosomal V0 subunit E	NM_025272	up	0.03	ns
10365845	Fgd6	FYVE, RhoGEF and PH domain containing 6	NM_053072	up	0.03	ns
10495134	100043129	predicted gene, 100043129	XM_001479553	down	0.03	ns
10502696	Spata1	spermatogenesis associated 1	NM_027617	up	0.03	ns
10396421	Hif1a	hypoxia inducible factor 1, alpha subunit	NM_010431	down	0.03	ns
10418905	3110001K24Rik	RIKEN cDNA 3110001K24 gene	NM_029389	down	0.03	ns
10601857	Ngfrap1	nerve growth factor receptor (TNFRSF16) associated protein 1	NM_009750	down	0.03	ns
10472277	March7	membrane-associated ring finger (C3HC4) 7	NM_020575	down	0.03	ns
10601569	Pcdh11x	protocadherin 11 X-linked	NM_001081385	down	0.03	ns
10427255	Tarbp2	TAR (HIV) RNA binding protein 2	NM_009319	down	0.03	ns
10465314	Capn1	calpain 1	NM_007600	down	0.03	ns
10373027	Tspan31	tetraspanin 31	NM_025982	up	0.03	ns
10457546	Osbpl1a	oxysterol binding protein-like 1A	NM_207530	down	0.03	0.03
10560983	Dedd2	death effector domain-containing DNA binding protein 2	NM_207677	up	0.03	ns
10472514	Nostrin	nitric oxide synthase trafficker	NM_181547	up	0.03	ns
10571705	Irf2	interferon regulatory factor 2	NM_008391	up	0.03	ns
10357875	Btg2	B-cell translocation gene 2, anti-proliferative	NM_007570	up	0.03	ns
10365219	EG237412	predicted gene, EG237412	DQ459435	down	0.03	ns
10443817	Pknox1	Pbx/knotted 1 homeobox	NM_016670	up	0.03	ns
10413897	Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	NM_001081221	up	0.03	ns
10413220	ENSMUSG00000072684	predicted gene, ENSMUSG00000072684	ENSMUST00000100823	up	0.03	ns
10565250	Mesdc1	mesoderm development candidate 1	NM_030705	up	0.03	ns
10445796	AI314976	expressed sequence AI314976	BC022574	down	0.03	ns
10542397	H2afj	H2A histone family, member J	NM_177688	up	0.03	ns
10535979	Rfc3	replication factor C (activator 1) 3	NM_027009	down	0.03	ns
10524338	Crybb1	crystallin, beta B1	NM_023695	up	0.03	ns
10512499	Tpm2	tropomyosin 2, beta	NM_009416	down	0.03	ns
10490569	Kcnq2	potassium voltage-gated channel, subfamily Q, member 2	NM_010611	up	0.03	ns
10523766	Lrrc8c	leucine rich repeat containing 8 family, member C	NM_133897	up	0.03	ns
10457225	Map3k8	mitogen-activated protein kinase kinase kinase 8	NM_007746	up	0.03	ns
10362717	Wasf1	WASP family 1	NM_031877	down	0.03	ns
10574743	Plekhg4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	NM_001081333	up	0.03	ns
10358627	Hmcn1	hemicentin 1	NM_001024720	down	0.03	ns
10597823	Lyzl4	lysozyme-like 4	NM_026915	up	0.03	ns
10556812	Lyrm1	LYR motif containing 1	NM_029610	down	0.03	ns
10607752	Bmx	BMX non-receptor tyrosine kinase	NM_009759	down	0.03	ns
10524889	Ksr2	kinase suppressor of ras 2	NM_001114545	down	0.03	ns
10358605	Hmcn1	hemicentin 1	NM_001024720	down	0.03	ns
10565794	Serpinh1	serine (or cysteine) peptidase inhibitor, clade H, member 1	NM_009825	up	0.03	ns
10490706	Znf512b	zinc finger protein 512B	ENSMUST00000108789	down	0.03	ns
10533849	Rilpl1	Rab interacting lysosomal protein-like 1	NM_021430	up	0.03	ns
10576152	Trappc2l	trafficking protein particle complex 2-like	NM_021502	down	0.03	ns
10522467	Rasl11b	RAS-like, family 11, member B	NM_026878	down	0.03	ns
10460926	Sf1	splicing factor 1	NM_001110791	up	0.03	ns
10424909	Hsf1	heat shock factor 1	NM_008296	up	0.03	ns
10422946	Ranbp3l	RAN binding protein 3-like	NM_198024	down	0.03	ns
10532616	Myo18b	myosin XVIIIb	XM_912851	up	0.03	ns
10395807	1110008L16Rik	RIKEN cDNA 1110008L16 gene	BC034876	down	0.03	ns
10470788	Odf2	outer dense fiber of sperm tails 2	NM_001113213	down	0.03	ns
10437432	Nmral1	NmrA-like family domain containing 1	NM_026393	down	0.03	ns
10404069	Hist1h1a	histone cluster 1, H1a	NM_030609	down	0.03	ns
10576581	Kcnk1	potassium channel, subfamily K, member 1	NM_008430	up	0.03	ns
10448506	Ccnf	cyclin F	NM_007634	up	0.03	ns
10418766	Ankrd28	ankyrin repeat domain 28	NM_001024604	down	0.03	ns
10430725	St13	suppression of tumorigenicity 13	NM_133726	up	0.03	ns
10550915	Cadm4	cell adhesion molecule 4	NM_153112	down	0.03	ns
10358654	Hmcn1	hemicentin 1	NM_001024720	down	0.03	ns
10381304	Vps25	vacuolar protein sorting 25 (yeast)	NM_026776	down	0.03	ns
10387483	Efnb3	ephrin B3	NM_007911	down	0.03	ns
10478285	9430021M05Rik	RIKEN cDNA 9430021M05 gene	ENSMUST0000067526	down	0.03	ns
10421922	---	Genscan chromosome:NCBIM37:14:93001677: 93003616:-1	GENSCANO0000018713	up	0.03	0.005
10430929	Tbrg3	transforming growth factor beta regulated gene 3	BC095996	up	0.03	ns
10543273	Cttnbp2	cortactin binding protein 2	NM_080285	up	0.03	ns
10479596	Zgpat	zinc finger, CCCH-type with G patch domain	NM_001048 148	up	0.03	0.004
10448307	Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a	NM_013749	up	0.03	ns
10582474	Chmp1a	chromatin modifying protein 1A	NM_145606	down	0.03	ns
10564849	2610034B18Rik	RIKEN CDNA 2610034B18 gene	BC031379	down	0.04	ns
10536746	Arf5	ADP-ribosylation factor 5	NM_007480	down	0.04	ns
10594631	Aph1b	anterior pharynx defective 1b homolog (C. elegans)	NM_177583	up	0.04	ns
10398678	Eif5	eukaryotic translation initiation factor 5	NM_173363	down	0.04	ns
10446235	Trip10	thyroid hormone receptor interactor 10	NM_134125	up	0.04	ns
10480714	Uap111	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	NM_001033 293	down	0.04	ns
10600480	4930408F14Rik	RIKEN CDNA 4930408F14 gene	BC117726	up	0.04	ns
10603230	4930408F14Rik	RIKEN CDNA 4930408F14 gene	BC117726	up	0.04	ns
10605353	4930408F14Rik	RIKEN CDNA 4930408F14 gene	BC117726	up	0.04	ns
10555262	Xrra1	X-ray radiation resistance associated 1	BC151014	down	0.04	ns
10433702	Mpv171	Mpv17 transgene, kidney disease mutant-like	NM_033564	down	0.04	ns
10572527	EG665858	predicted gene, EG665858	ENSMUSTO 0000110075	down	0.04	0.02
10388954	Omg	oligodendrocyte myelin glycoprotein	NM_019409	down	0.04	ns
10607475	Prdx4	peroxiredoxin 4	NM_016764	down	0.04	ns
10576439	Cog2	component of oligomeric golgi complex 2	NM_029746	down	0.04	ns
10479514	Col20a1	collagen, type XX, alpha 1	BC016112	up	0.04	ns
10474096	Lrrc4c	leucine rich repeat containing 4C	NM_178725	down	0.04	ns
10561461	Samd4b	sterile alpha motif domain containing 4B	NM_175021	up	0.04	ns
10590479	Zfp167	zinc finger protein 167	BC119591	down	0.04	ns
10564573	Chd2	chromodomain helicase DNA binding protein 2	NM_001081 345	up	0.04	ns
10490352	Taf4a	TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor	NM_001081 092	up	0.04	ns
10350188	Tmem9	transmembrane protein 9	NM_025439	down	0.04	ns
10593492	Zc3h12c	zinc finger CCCH type containing 12C	AK220416	up	0.04	ns
10345368	D1Ertd448e	DNA segment, Chr 1, ERATO Doi 448, expressed	ENSMUSTO 0000097783	up	0.04	ns
10369932	Susd2	sushi domain containing 2	NM_027890	down	0.04	ns
10486616	Ubr1	ubiquitin protein ligase E3 component n-recognin 1	NM_009461	down	0.04	ns
10507250	Pomgnt1	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	NM_026651	down	0.04	ns
10497481	2810416G20Rik	RIKEN CDNA 2810416G20 gene	ENSMUSTO 0000057404	down	0.04	ns
10558285	Zranb1	zinc finger, RAN-binding domain containing 1	NM_207302	down	0.04	0.01
10413598	Tmem110	transmembrane protein 110	NM_028839	down	0.04	ns
10427436	C7	complement component 7	XM_356827	down	0.04	ns
10442083	---	MI0000561 Mus musculus let-7e stem-loop	---	down	0.04	ns
10481734	Lrsam1	leucine rich repeat and sterile alpha motif containing 1	NM_199302	down	0.04	ns
10586011	Larp6	La ribonucleoprotein domain family, member 6	NM_026235	down	0.04	ns
10373367	Coq10a	coenzyme Q10 homolog A (yeast)	NM_001081040	down	0.04	ns
10511084	Nadk	NAD kinase	NM_138671	up	0.04	ns
10428983	0910001A06Rik	RIKEN cDNA 0910001A06 gene	BC011343	down	0.04	ns
10512739	Xpa	xeroderma pigmentosum, complementation group A	NM_011728	down	0.04	ns
10424945	Kifc2	kinesin family member C2	NM_010630	down	0.04	ns
10411927	Sdccag10	serologically defined colon cancer antigen 10	NM_026072	down	0.04	ns
10556208	D930014E17Rik	RIKEN cDNA D930014E17 gene	NM_020616	down	0.04	ns
10586405	Spg21	spastic paraplegia 21 homolog (human)	NM_138584	down	0.04	ns
10481508	Asb6	ankyrin repeat and SOCS box-containing 6	NM_133346	up	0.04	ns
10507594	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	NM_011400	up	0.04	ns
10358978	Ier5	immediate early response 5	NM_010500	up	0.04	3.96e-06
